INMATEID,ADMITTED_DT,DISCHARGED_DT,CUSTODY_LEVEL,BRADH,RACE,GENDER,AGE,INMATE_STATUS_CODE,SEALED,SRG_FLG,TOP_CHARGE,INFRACTION
20203277,04/01/2019 05:37:29 PM,,MAX,N,O,M,34,DE,N,Y,125.25,Y
59163,04/01/2019 05:42:18 PM,,MAX,Y,O,M,34,DEP,N,Y,125.25,Y
20078654,04/03/2019 05:16:35 PM,,MAX,N,B,M,26,DE,N,Y,125.20,Y
20203327,04/03/2019 06:58:00 PM,,MAX,N,B,M,25,DE,N,Y,125.25,Y
20055500,04/04/2019 07:33:36 PM,,MIN,N,O,M,37,SSR,N,N,,N
152562,04/05/2019 04:56:33 PM,,MIN,Y,B,M,47,DE,N,N,105.10,N
20203392,04/05/2019 05:03:52 PM,,MED,Y,O,F,44,DE,N,N,125.25,Y
20165528,04/06/2019 12:48:14 PM,,MED,N,B,M,49,DE,N,N,110-125.25,Y
20168190,04/09/2019 07:40:35 PM,,MAX,N,W,M,34,DE,N,N,125.25,Y
20031963,04/10/2019 12:12:52 AM,,MAX,N,B,M,32,DE,N,Y,110-125.25,Y
45541,04/12/2019 01:49:07 AM,,MAX,Y,O,M,49,DE,N,N,120.10,Y
20203619,04/13/2019 01:47:19 PM,,MAX,Y,O,M,41,DE,N,N,130.65,Y
20102018,04/13/2019 02:41:00 PM,,MAX,Y,B,M,25,DE,N,Y,125.25,Y
20203679,04/16/2019 05:07:06 PM,,MIN,N,B,M,47,DE,N,N,105.05,Y
20173184,04/17/2019 01:36:03 AM,,MAX,Y,B,M,28,DNS,N,Y,,Y
20105787,04/17/2019 12:25:00 PM,,MED,N,B,M,31,DE,N,N,125.25,Y
20203698,04/17/2019 06:23:48 PM,,MED,Y,B,M,30,DE,N,N,110-130.35,N
109923,04/17/2019 07:29:26 PM,,MED,N,O,M,40,DE,N,N,120.10,Y
20107264,04/17/2019 08:36:42 PM,,MAX,Y,B,M,34,DE,N,N,110-125.25,Y
20127906,04/17/2019 11:06:00 PM,,MED,N,B,M,49,DE,N,N,130.35,Y
130842,04/17/2019 11:46:00 PM,,MED,Y,B,M,35,DE,N,N,130.50,Y
142490,04/19/2019 10:59:08 AM,,MAX,N,B,M,30,DE,N,Y,110-125.25,Y
20203756,04/20/2019 02:44:00 PM,,MAX,Y,B,M,22,DE,N,Y,110-125.25,Y
20203798,04/22/2019 05:29:54 PM,,MED,N,B,M,47,DE,N,Y,125.27,Y
20145809,04/23/2019 06:43:29 PM,,MAX,Y,B,M,33,DE,N,Y,160.15,Y
20203820,04/23/2019 06:54:29 PM,,MED,Y,B,M,36,DE,N,N,110-125.25,N
20048889,04/25/2019 10:36:00 AM,,MAX,Y,B,M,37,DE,N,Y,125.25,Y
20203866,04/25/2019 03:44:41 PM,,MED,N,A,M,35,DE,N,N,125.25,N
7289,04/25/2019 08:18:41 PM,,MED,Y,B,M,41,DE,N,N,125.25,Y
28389,04/27/2019 09:10:26 PM,,MAX,Y,B,M,51,DE,N,N,120.10,N
20203988,05/01/2019 07:43:00 PM,,MED,Y,W,M,19,DE,N,Y,125.25,Y
20203998,05/02/2019 01:35:22 AM,,MAX,Y,B,M,29,DE,N,Y,125.25,Y
20188025,05/02/2019 12:08:57 PM,,MED,Y,B,F,44,DE,N,N,125.25,Y
20008785,05/02/2019 08:34:32 PM,,MAX,N,B,M,34,DE,N,Y,125.25,Y
20204037,05/03/2019 12:13:42 AM,,MED,N,O,M,62,DE,N,N,130.75,N
20198081,05/03/2019 12:42:21 PM,,MAX,Y,B,M,20,DE,N,Y,125.25,Y
20010059,05/03/2019 11:44:07 PM,,MAX,Y,O,M,31,DE,N,N,125.25,Y
20204093,05/05/2019 02:02:47 AM,,MAX,Y,B,M,25,DNS,N,N,,Y
140153,05/09/2019 01:43:44 AM,,MAX,Y,O,M,31,DE,N,Y,125.25,Y
20184416,05/09/2019 04:46:00 PM,,MAX,N,B,M,27,DE,N,Y,125.27,Y
144314,05/11/2019 01:45:54 AM,,MED,Y,O,M,50,SSR,N,N,,Y
10004117,05/12/2019 04:39:00 PM,,MED,Y,B,M,50,DEP,N,N,110-130.35,Y
20014669,05/14/2019 12:03:00 PM,,MAX,N,B,M,32,DE,N,Y,125.25,Y
20178049,05/15/2019 02:07:14 PM,,MAX,Y,O,M,22,DE,N,Y,125.25,Y
24929,05/15/2019 09:36:01 PM,,MAX,Y,B,M,39,DE,N,N,105.15,Y
20095856,05/18/2019 12:58:20 AM,,MAX,N,W,M,31,DE,N,N,120.05,Y
20077750,05/18/2019 01:02:02 AM,,MED,Y,B,M,33,DE,N,N,140.30,Y
20181375,05/19/2019 12:44:33 PM,,MED,Y,O,M,31,DE,N,N,110-125.26,Y
20107329,05/20/2019 12:19:23 AM,,MAX,Y,B,M,31,DE,N,Y,110-120.10,Y
20204447,05/21/2019 09:14:08 PM,,MED,Y,O,M,58,DE,N,N,125.25,N
20204451,05/22/2019 01:09:15 AM,,MIN,N,O,M,32,DE,N,N,140.30,N
10011304,05/22/2019 06:54:58 PM,,MED,Y,B,M,64,SCO,N,N,130.96,N
20204465,05/23/2019 12:41:01 AM,,MED,N,O,M,32,DE,N,N,110-125.25,Y
20204475,05/23/2019 03:14:14 PM,,MIN,Y,B,M,65,SSR,N,N,,Y
157550,05/23/2019 04:10:13 PM,,MAX,Y,O,M,29,DE,N,Y,160.15,Y
20204506,05/24/2019 04:23:00 PM,,MED,Y,B,F,32,DE,N,N,125.25,Y
20204520,05/25/2019 11:38:30 AM,,MED,Y,O,M,54,SSR,N,N,,Y
16738,05/25/2019 01:55:42 PM,,MAX,Y,B,M,33,DE,N,Y,265.03,Y
20204585,05/28/2019 08:20:17 PM,,MED,Y,O,M,35,DE,N,N,220.43,Y
20204612,05/29/2019 04:43:00 PM,,MED,Y,B,M,30,DE,N,N,125.25,Y
20161733,05/29/2019 08:43:20 PM,,MAX,Y,B,M,39,DE,N,Y,130.53,Y
20198515,05/30/2019 11:56:43 AM,,MED,Y,B,M,41,DE,N,N,125.25,Y
20070656,05/30/2019 03:30:19 PM,,MAX,Y,B,M,35,DE,N,Y,125.25,Y
12222,05/31/2019 12:28:48 AM,,MIN,Y,B,M,60,DE,N,N,110-125.25,N
83369,05/31/2019 01:06:12 AM,,MAX,Y,O,M,35,DEP,N,N,140.30,Y
2000,05/31/2019 12:49:01 PM,,MAX,Y,B,M,34,DE,N,Y,125.25,Y
20204665,05/31/2019 02:01:11 PM,,MIN,Y,B,M,45,DE,N,N,110-125.25,Y
20068292,05/31/2019 08:31:52 PM,,MED,Y,B,M,59,DE,N,N,130.53,Y
161226,06/02/2019 07:51:11 PM,,MED,Y,B,M,34,DE,N,N,125.27,Y
145551,06/02/2019 08:01:48 PM,,MED,N,B,M,42,DE,N,N,110-125.27,Y
20017402,06/03/2019 09:23:41 PM,,MIN,Y,B,M,42,DE,N,N,110-125.25,N
20103843,06/04/2019 12:03:04 AM,,MAX,Y,B,M,32,DE,N,N,130.35,Y
20086843,06/05/2019 01:58:42 AM,,MAX,Y,B,M,26,DE,N,Y,110-130.35,Y
19245,06/08/2019 01:13:51 AM,,MED,Y,B,M,37,DE,N,N,160.15,N
20186916,06/11/2019 02:58:37 PM,,MAX,Y,O,M,28,DE,N,N,140.30,Y
20164373,06/11/2019 04:58:00 PM,,MAX,Y,B,M,24,DE,N,Y,125.25,Y
20204997,06/13/2019 02:50:39 PM,,MAX,Y,B,M,20,DE,N,N,125.25,Y
20205006,06/13/2019 07:00:00 PM,,MED,N,O,M,47,DE,N,N,130.75,N
20205016,06/14/2019 12:38:00 AM,,MAX,Y,W,M,41,DE,N,N,130.35,Y
20205048,06/15/2019 11:02:00 AM,,MAX,Y,B,M,21,DE,N,Y,125.25,Y
20096399,06/15/2019 03:54:30 PM,,MAX,Y,B,M,25,DEP,N,N,130.95,Y
3407,06/15/2019 08:18:00 PM,,MED,Y,B,M,39,DE,N,Y,230.33,Y
20161530,06/18/2019 12:04:28 AM,,MAX,Y,O,M,22,DE,N,Y,105.15,Y
20205109,06/18/2019 01:34:21 AM,,MAX,Y,W,M,26,DE,N,N,125.25,Y
64918,06/18/2019 09:27:27 PM,,MED,N,B,M,37,DE,N,Y,125.25,N
20205165,06/20/2019 07:16:38 PM,,MED,N,O,M,62,DE,N,N,125.25,N
20205217,06/23/2019 12:50:57 AM,,MIN,N,B,M,36,DE,N,N,220.77,Y
20199676,06/23/2019 01:22:57 AM,,MED,Y,W,M,64,DE,N,N,110-125.25,Y
20205227,06/23/2019 12:29:08 PM,,MAX,Y,O,M,20,DE,N,N,125.25,Y
20036616,06/24/2019 01:23:02 PM,,MAX,Y,B,M,40,SSR,N,Y,,Y
